timestamp	session	ioa	asdu	value	quality	iv	cot
2026-03-26 17:56:42.986	cl2	246	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	252	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	254	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	260	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	262	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	268	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	270	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	276	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	278	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	284	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	286	36	0.0	0	0	20
2026-03-26 17:56:42.986	cl2	292	30	0	0	0	20
2026-03-26 17:56:42.986	cl2	294	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	300	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	302	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	308	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	310	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	316	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	318	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	324	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	326	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	332	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	334	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	340	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	342	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	348	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	350	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	356	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	358	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	364	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	366	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	372	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	374	36	0.0	0	0	20
2026-03-26 17:56:42.987	cl2	380	30	0	0	0	20
2026-03-26 17:56:42.987	cl2	382	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	388	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	390	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	396	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	398	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	404	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	406	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	412	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	414	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	420	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	422	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	428	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	430	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	436	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	438	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	444	30	0	0	0	20
2026-03-26 17:56:42.988	cl2	446	36	0.0	0	0	20
2026-03-26 17:56:42.988	cl2	452	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	454	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	460	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	462	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	468	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	470	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	476	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	478	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	484	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	486	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	492	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	494	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	500	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	502	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	508	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	510	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	516	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	518	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	524	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	526	36	0.0	0	0	20
2026-03-26 17:56:42.989	cl2	532	30	0	0	0	20
2026-03-26 17:56:42.989	cl2	534	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	540	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	542	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	548	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	550	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	556	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	558	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	564	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	566	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	572	30	0	0	0	20
2026-03-26 17:56:42.990	cl2	574	36	0.0	0	0	20
2026-03-26 17:56:42.990	cl2	580	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	582	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	588	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	590	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	596	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	598	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	604	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	606	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	612	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	614	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	620	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	622	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	628	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	630	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	636	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	638	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	644	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	646	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	652	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	654	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	660	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	662	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	668	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	670	36	0.0	0	0	20
2026-03-26 17:56:42.991	cl2	676	30	0	0	0	20
2026-03-26 17:56:42.991	cl2	678	36	0.0	0	0	20
